"","UST.10Y","SP500"
"1964-03-09",0.0300000000000002,0.00460653405763851
"1964-03-16",0.00999999999999979,0.010287764578131
"1964-03-23",0.04,-0.00265705223696713
"1964-03-30",0,0.00265705223696707
"1964-04-06",0,0.0110581674718108
"1964-04-13",-0.0199999999999996,-0.00312910950605086
"1964-04-20",0.00999999999999979,0.00910969050147968
"1964-04-27",-0.00999999999999979,-0.0143887374520997
"1964-05-04",-0.00999999999999979,0.0140159971856235
"1964-05-11",-0.0300000000000002,0.00532937990640464
"1964-05-18",0,-0.00222744801909253
"1964-05-22",0.00999999999999979,0.000123877361570661
"1964-06-01",-0.00999999999999979,-0.00770956317989878
"1964-06-08",-0.00999999999999979,-0.0185202143881143
"1964-06-15",0,0.0167710885048873
"1964-06-22",-0.0300000000000002,0.0141546937384547
